seat,from,to,date,name,mobile,fare,utr,status
S1,madurai,palani,2026-02-11,Dhinakaran,6383051897,140,122345672122,REJECTED
S8,madurai,udumalaipettai,2026-02-11,Nagappan Sp,6383051897,1050,999999999999,PAID
S9,madurai,udumalaipettai,2026-02-11,Nagappan Sp,6383051897,1050,999999999999,PAID
S10,madurai,udumalaipettai,2026-02-11,Nagappan Sp,6383051897,1050,999999999999,PAID
S7,madurai,udumalaipettai,2026-02-11,Nagappan Sp,6383051897,1050,999999999999,PAID
S6,madurai,udumalaipettai,2026-02-11,Nagappan Sp,6383051897,1050,999999999999,PAID
S12,udumalaipettai,coimbatore,2026-02-11,gowtham,6768696065,140,122345672122,REJECTED
S11,udumalaipettai,coimbatore,2026-02-11,gowtham,6768696065,140,122345672122,REJECTED
S10,udumalaipettai,pollachi,2026-02-11,Dhinakaran,6575789023,210,122345672122,REJECTED
S9,udumalaipettai,pollachi,2026-02-11,Dhinakaran,6575789023,210,122345672122,REJECTED
S8,udumalaipettai,pollachi,2026-02-11,Dhinakaran,6575789023,210,122345672122,REJECTED
S56,madurai,pollachi,2026-02-11,gowtham,8988888321,1400,343434343434,PAID
S57,madurai,pollachi,2026-02-11,gowtham,8988888321,1400,343434343434,PAID
S58,madurai,pollachi,2026-02-11,gowtham,8988888321,1400,343434343434,PAID
S54,madurai,pollachi,2026-02-11,gowtham,8988888321,1400,343434343434,PAID
S50,madurai,pollachi,2026-02-11,gowtham,8988888321,1400,343434343434,PAID
S2,madurai,pollachi,2026-02-11,Ramanathan,6369650907,560,123456789012,PAID
S1,madurai,pollachi,2026-02-11,Ramanathan,6369650907,560,123456789012,PAID
S36,madurai,coimbatore,2026-02-11,Nagappan Sp,9876543210,2100,121212121212,PAID
S32,madurai,coimbatore,2026-02-11,Nagappan Sp,9876543210,2100,121212121212,PAID
S22,madurai,coimbatore,2026-02-11,Nagappan Sp,9876543210,2100,121212121212,PAID
S27,madurai,coimbatore,2026-02-11,Nagappan Sp,9876543210,2100,121212121212,PAID
S26,madurai,coimbatore,2026-02-11,Nagappan Sp,9876543210,2100,121212121212,PAID
S31,madurai,coimbatore,2026-02-11,Nagappan Sp,9876543210,2100,121212121212,PAID
